,Risk ID,Title,Likelihood,Impact,Score,Owner,Category,Severity,Remediated
0,R1,Unauthorized Access to PHI,3,3,9,GRC / IT Security,Access Control,Critical,Yes
1,R2,Cloud Misconfiguration,3,3,9,DevOps,Cloud Security,Critical,Yes
2,R3,Insecure Vendor API,2,3,6,Procurement / Legal,Third-Party Risk,High,No
3,R4,Inadequate Logging,3,2,6,SecOps,Monitoring,High,No
4,R5,Insider Misuse,2,3,6,HR / SecOps,Insider Threat,High,Yes
5,R6,Weak Encryption,2,3,6,DevOps,Data Protection,High,No
8,R9,No Risk Program,3,2,6,GRC,Governance,High,Yes
9,R10,Phishing Risk,3,2,6,HR / Security,Security Awareness,High,Yes
7,R8,Insecure SDLC,2,2,4,Engineering / AppSec,Application Security,Medium,No
6,R7,Missing BCP/DR Plan,1,3,3,GRC / DevOps,Business Continuity,Low,Yes
